Date,Open,High,Low,Close,Adj_Close,Volume
2023-07-20,1938.00000000,1944.00000000,1929.00000000,1934.00000000,1934.00000000,1729.77560000
2023-07-21,1934.00000000,1938.00000000,1921.00000000,1924.00000000,1924.00000000,842.98630000
2023-07-22,1924.00000000,1929.00000000,1921.00000000,1927.00000000,1927.00000000,420.52670000
2023-07-23,1927.00000000,1934.00000000,1923.00000000,1933.00000000,1933.00000000,230.24550000
2023-07-24,1932.00000000,1947.00000000,1930.00000000,1936.00000000,1936.00000000,923.11920000
2023-07-25,1937.00000000,1951.00000000,1929.00000000,1945.00000000,1945.00000000,619.42410000
2023-07-26,1945.00000000,1965.00000000,1941.00000000,1955.00000000,1955.00000000,965.52580000
2023-07-27,1956.00000000,1968.00000000,1934.00000000,1942.00000000,1942.00000000,834.15670000
2023-07-28,1942.00000000,1951.00000000,1938.00000000,1950.00000000,1950.00000000,339.51270000
2023-07-29,1950.00000000,1954.00000000,1945.00000000,1947.00000000,1947.00000000,120.04880000
2023-07-30,1947.00000000,1960.00000000,1942.00000000,1947.00000000,1947.00000000,194.74600000
2023-07-31,1946.00000000,1961.00000000,1938.00000000,1954.00000000,1954.00000000,413.56900000
2023-08-01,1954.00000000,1954.00000000,1936.00000000,1948.00000000,1948.00000000,581.43040000
2023-08-02,1949.00000000,1949.00000000,1924.00000000,1929.00000000,1929.00000000,657.82740000
2023-08-03,1931.00000000,1937.00000000,1923.00000000,1934.00000000,1934.00000000,407.04400000
2023-08-04,1934.00000000,1946.00000000,1924.00000000,1944.00000000,1944.00000000,547.19750000
2023-08-05,1944.00000000,1950.00000000,1938.00000000,1943.00000000,1943.00000000,309.34530000
2023-08-06,1942.00000000,1949.00000000,1934.00000000,1941.00000000,1941.00000000,379.82580000
2023-08-07,1941.00000000,1947.00000000,1930.00000000,1944.00000000,1944.00000000,890.19090000
2023-08-08,1945.00000000,1945.00000000,1928.00000000,1930.00000000,1930.00000000,738.25620000
2023-08-09,1930.00000000,1939.00000000,1915.00000000,1920.00000000,1920.00000000,1022.29620000
2023-08-10,1920.00000000,1929.00000000,1917.00000000,1917.00000000,1917.00000000,542.60190000
2023-08-11,1917.00000000,1924.00000000,1910.00000000,1910.00000000,1910.00000000,409.72330000
2023-08-12,1910.00000000,1912.00000000,1890.00000000,1904.00000000,1904.00000000,719.39180000
2023-08-13,1905.00000000,1911.00000000,1896.00000000,1906.00000000,1906.00000000,261.78370000
2023-08-14,1907.00000000,1915.00000000,1899.00000000,1902.00000000,1902.00000000,488.37620000
2023-08-15,1901.00000000,1911.00000000,1897.00000000,1899.00000000,1899.00000000,442.27610000
2023-08-16,1899.00000000,1908.00000000,1890.00000000,1894.00000000,1894.00000000,613.13890000
2023-08-17,1892.00000000,1902.00000000,1865.00000000,1871.00000000,1871.00000000,1547.44520000
2023-08-18,1872.00000000,1899.00000000,1867.00000000,1874.00000000,1874.00000000,1107.15140000
2023-08-19,1874.00000000,1883.00000000,1870.00000000,1875.00000000,1875.00000000,386.35750000
2023-08-20,1874.00000000,1879.00000000,1868.00000000,1876.00000000,1876.00000000,331.71340000
2023-08-21,1875.00000000,1886.00000000,1871.00000000,1879.00000000,1879.00000000,500.19270000
2023-08-22,1880.00000000,1899.00000000,1877.00000000,1888.00000000,1888.00000000,628.90370000
2023-08-23,1888.00000000,1918.00000000,1888.00000000,1910.00000000,1910.00000000,864.75010000
2023-08-24,1910.00000000,1913.00000000,1903.00000000,1909.00000000,1909.00000000,473.59220000
2023-08-25,1908.00000000,1913.00000000,1896.00000000,1903.00000000,1903.00000000,369.60080000
2023-08-26,1902.00000000,1905.00000000,1897.00000000,1904.00000000,1904.00000000,177.67350000
2023-08-27,1903.00000000,1907.00000000,1896.00000000,1899.00000000,1899.00000000,237.83780000
2023-08-28,1901.00000000,1911.00000000,1899.00000000,1905.00000000,1905.00000000,432.46940000
2023-08-29,1904.00000000,1920.00000000,1890.00000000,1913.00000000,1913.00000000,875.21360000
2023-08-30,1913.00000000,1929.00000000,1910.00000000,1923.00000000,1923.00000000,510.03000000
2023-08-31,1924.00000000,1934.00000000,1912.00000000,1918.00000000,1918.00000000,633.83690000
2023-09-01,1918.00000000,1934.00000000,1915.00000000,1917.00000000,1917.00000000,452.95160000
2023-09-02,1917.00000000,1922.00000000,1912.00000000,1914.00000000,1914.00000000,195.65680000
2023-09-03,1914.00000000,1922.00000000,1912.00000000,1917.00000000,1917.00000000,183.46610000
2023-09-04,1917.00000000,1928.00000000,1916.00000000,1920.00000000,1920.00000000,199.35210000
2023-09-05,1920.00000000,1920.00000000,1906.00000000,1912.00000000,1912.00000000,318.37790000
2023-09-06,1911.00000000,1912.00000000,1891.00000000,1898.00000000,1898.00000000,353.62090000
